target,name,tier,index,gamma,diff,precision_pct,norm_precision
637,91 × dim(K₇),4,368,637.39719316,0.3971931600000289,0.06235371428571883,0.2919844718082669
644,92 × dim(K₇),4,373,643.278883781,-0.7211162190000096,0.11197456816770335,0.5313609780167811
651,93 × dim(K₇),4,379,650.668683891,-0.3313161089999994,0.05089341152073724,0.24470332373542683
658,94 × dim(K₇),4,384,658.175614419,0.17561441899999863,0.026689121428571223,0.13000416200399922
665,95 × dim(K₇),4,389,665.342763096,0.34276309599999877,0.05154332270676673,0.2543185689939951
672,96 × dim(K₇),4,394,672.458183584,0.45818358400003945,0.06818208095238683,0.34072023875245305
679,97 × dim(K₇),4,400,679.742197883,0.7421978830000171,0.1093074938144355,0.5531466221192914
686,98 × dim(K₇),4,405,686.163223588,0.16322358800005077,0.023793525947529266,0.12191402173497025
693,99 × dim(K₇),4,410,693.176970061,0.17697006100002,0.025536805339108227,0.13246740637356932
700,100 × dim(K₇),4,415,700.296739132,0.2967391319999706,0.04239130457142437,0.22259280579800356
707,101 × dim(K₇),4,420,706.1846548,-0.8153452000000243,0.11532463932107839,0.6129057839189205
714,102 × dim(K₇),4,426,714.082771821,0.0827718210000512,0.011592692016813894,0.06235046360362382
721,103 × dim(K₇),4,431,721.351162219,0.35116221900000255,0.04870488474341229,0.26506919206960794
728,104 × dim(K₇),4,436,728.405481589,0.4054815890000327,0.05569802046703746,0.306694826513401
735,105 × dim(K₇),4,441,734.789643252,-0.21035674799998105,0.028619965714283137,0.15942828415026683
742,106 × dim(K₇),4,447,741.757335573,-0.24266442700002244,0.03270410067385748,0.18428018673848165
749,107 × dim(K₇),4,452,748.242754465,-0.7572455350000382,0.10110087249666731,0.5761864664479782
756,108 × dim(K₇),4,457,755.839308976,-0.1606910240000161,0.021255426455028585,0.12250735422139304
763,109 × dim(K₇),4,462,762.70003325,-0.2999667499999532,0.039314121887280895,0.22912816344922715
770,110 × dim(K₇),4,468,769.693407253,-0.30659274699996786,0.0398172398701257,0.23463502587746857
777,111 × dim(K₇),4,474,777.29974853,0.299748529999988,0.03857767438867285,0.22982889123106706
784,112 × dim(K₇),4,479,784.288822612,0.28882261199998993,0.03683961887754973,0.22186383143049787
791,113 × dim(K₇),4,484,790.831620468,-0.1683795320000172,0.021286919342606472,0.12958171191664047
798,114 × dim(K₇),4,490,798.707570166,0.7075701659999822,0.08866794060150153,0.5455248478258322
805,115 × dim(K₇),4,495,804.762239113,-0.23776088700003584,0.02953551391304793,0.18364018515121736
812,116 × dim(K₇),4,501,812.771108389,0.7711083890000054,0.09496408731527162,0.5966461766238887
819,117 × dim(K₇),4,506,819.204642171,0.2046421710000459,0.024986834065939666,0.1586217322176546
826,118 × dim(K₇),4,511,826.039287377,0.03928737700005058,0.004756341041168351,0.030505549727635733
833,119 × dim(K₇),4,517,833.003640909,0.0036409089999551725,0.00043708391356004473,0.002831954095088253
840,120 × dim(K₇),4,522,839.46539481,-0.5346051899999793,0.06364347499999753,0.41653601660562245
847,121 × dim(K₇),4,527,846.194769928,-0.8052300719999721,0.09506848547815491,0.6284561190218257
854,122 × dim(K₇),4,533,854.09551172,0.09551171999999042,0.011184042154565622,0.0746689323173311
861,123 × dim(K₇),4,539,861.171098213,0.17109821300005024,0.01987203403020328,0.1339830627396407
868,124 × dim(K₇),4,544,867.693122612,-0.3068773879999753,0.03535453778801559,0.24070407803652236
