target,name,tier,formula,index,gamma,precision,precision_pct
161,23×7,4,23 × dim(K₇),737,161.1435885167,0.0008918541409937416,0.08918541409937417
35,5×7,4,5 × dim(K₇),140,35.0325394964,0.0009296998971428089,0.09296998971428089
72,|Roots(E₆)|,2,E₆ root count,308,72.067157674,0.0009327454722222307,0.09327454722222307
259,37×7,4,37 × dim(K₇),1215,258.7384273939,0.0010099328420849546,0.10099328420849546
67,Heegner₆₇,3,class number 1,284,66.9312267296,0.0010264667223880784,0.10264667223880783
21,3×7,4,3 × dim(K₇),77,21.022039638771556,0.001049506608169334,0.10495066081693341
21,b₂,1,second Betti number,77,21.022039638771556,0.001049506608169334,0.10495066081693341
56,b₃-b₂,2,Betti difference,234,56.0704392223,0.0012578432553571922,0.12578432553571922
56,8×7,4,8 × dim(K₇),234,56.0704392223,0.0012578432553571922,0.12578432553571922
11,D_bulk,2,bulk dimension,36,10.9850205535,0.001361767863636358,0.1361767863636358
91,13×7,4,13 × dim(K₇),398,90.850916242,0.0016382830549450912,0.1638283054945091
43,Heegner₄₃,3,class number 1,174,42.927255356,0.0016917359069766648,0.16917359069766646
28,4×7,4,4 × dim(K₇),109,28.0527090628,0.0018824665285714914,0.18824665285714914
42,6×7,4,6 × dim(K₇),171,42.1402492149,0.003339267021428632,0.3339267021428632
8,rank(E₈),2,E₈ rank,24,7.9651576868,0.004355289150000052,0.43552891500000523
