observable,formula,predicted,experimental,deviation_pct,uncertainty,complexity,n_params,log_likelihood,bic,aic,r2,r2_adj,p_value_raw,n_tests,p_value_corrected,quality_score,significance,source
H_0,H₀^CMB × (ζ(3)/ξ)^β₀,72.9300000000,73.0400000000,0.1500000000,1.0400000000,5,2,-0.9637528114,9.1493414482,5.9275056229,0.9999977500,0.9999976176,0.9161011412,1480,1.0000000000,0.0000000000,not_significant,ranked_summary
Omega_b,ζ(7)/b₂,0.0480170000,0.0486000000,1.2000000000,0.0010000000,2,1,5.8188722458,-8.0268265789,-9.6377444916,0.9998560000,0.9998518857,0.5597586712,740,1.0000000000,0.0000000000,not_significant,ranked_summary
sigma_8,4/Weyl,0.8000000000,0.8110000000,1.3600000000,0.0060000000,3,1,2.5165017210,-1.4220855293,-3.0330034420,0.9998150400,0.9998097554,0.0660231204,74,1.0000000000,0.0000000000,not_significant,ranked_summary
g_Y,√(Weyl/39),0.3580570000,0.3570000000,0.3000000000,0.0020000000,3,1,5.1560134402,-6.7011089678,-8.3120268804,0.9999910000,0.9999907429,0.5923041576,74,1.0000000000,0.0000000000,not_significant,ranked_summary
Omega_DM,ζ(7)/τ,0.2587670000,0.2600000000,0.4700000000,0.0120000000,2,1,3.4986313147,-3.3863447168,-4.9972626295,0.9999779100,0.9999772789,0.9188889670,740,1.0000000000,0.0000000000,not_significant,ranked_summary
Omega_b,ζ(9)/b₂,0.0477150000,0.0486000000,1.8200000000,0.0010000000,2,1,5.5972042458,-7.5834905789,-9.1944084916,0.9996687600,0.9996592960,0.3764155709,740,1.0000000000,0.0000000000,not_significant,ranked_summary
Omega_b,ζ(5)/b₂,0.0493780000,0.0486000000,1.6000000000,0.0010000000,2,1,5.6861747458,-7.7614315789,-9.3723494916,0.9997440000,0.9997366857,0.4368048610,740,1.0000000000,0.0000000000,not_significant,ranked_summary
Weyl,2 + 3,5.0000000000,5.0000000000,0.0000000000,,3,1,,,,1.0000000000,1.0000000000,,37,1.0000000000,0.0000000000,not_significant,validation_patterns
dim(K₇),2 + 5,7.0000000000,7.0000000000,0.0000000000,,3,1,,,,1.0000000000,1.0000000000,,37,1.0000000000,0.0000000000,not_significant,validation_patterns
N_gen,|2 - 5|,3.0000000000,3.0000000000,0.0000000000,,3,1,,,,1.0000000000,1.0000000000,,37,1.0000000000,0.0000000000,not_significant,validation_patterns
Weyl,|2 - 7|,5.0000000000,5.0000000000,0.0000000000,,3,1,,,,1.0000000000,1.0000000000,,37,1.0000000000,0.0000000000,not_significant,validation_patterns
dim(G₂),2 × 7,14.0000000000,14.0000000000,0.0000000000,,3,1,,,,1.0000000000,1.0000000000,,74,1.0000000000,0.0000000000,not_significant,validation_patterns
b₂,2 + 19,21.0000000000,21.0000000000,0.0000000000,,3,1,,,,1.0000000000,1.0000000000,,37,1.0000000000,0.0000000000,not_significant,validation_patterns
rank(E₈),3 + 5,8.0000000000,8.0000000000,0.0000000000,,3,1,,,,1.0000000000,1.0000000000,,37,1.0000000000,0.0000000000,not_significant,validation_patterns
p₂,|3 - 5|,2.0000000000,2.0000000000,0.0000000000,,3,1,,,,1.0000000000,1.0000000000,,37,1.0000000000,0.0000000000,not_significant,validation_patterns
b₂,3 × 7,21.0000000000,21.0000000000,0.0000000000,,3,1,,,,1.0000000000,1.0000000000,,74,1.0000000000,0.0000000000,not_significant,validation_patterns
dim(G₂),|3 - 17|,14.0000000000,14.0000000000,0.0000000000,,3,1,,,,1.0000000000,1.0000000000,,37,1.0000000000,0.0000000000,not_significant,validation_patterns
p₂,|5 - 7|,2.0000000000,2.0000000000,0.0000000000,,3,1,,,,1.0000000000,1.0000000000,,37,1.0000000000,0.0000000000,not_significant,validation_patterns
rank(E₈),|5 - 13|,8.0000000000,8.0000000000,0.0000000000,,3,1,,,,1.0000000000,1.0000000000,,37,1.0000000000,0.0000000000,not_significant,validation_patterns
dim(G₂),|5 - 19|,14.0000000000,14.0000000000,0.0000000000,,3,1,,,,1.0000000000,1.0000000000,,37,1.0000000000,0.0000000000,not_significant,validation_patterns
