manifold,b2,b3,H_star,source,gift_prediction,n_points,seed,lambda_0,lambda_1,lambda_1_times_H,sigma_mean,status
Kovalev_3,22,59,82,Kovalev,0.17073170731707318,1000,1,-0.005144926894900969,0.21782481895510022,17.86163515431822,2.7344453274129537,ok
Kovalev_3,22,59,82,Kovalev,0.17073170731707318,1000,2,-0.0016403334546687964,0.20822388403979628,17.074358491263293,2.728772186691772,ok
Kovalev_3,22,59,82,Kovalev,0.17073170731707318,2000,0,1.3167629564715618e-05,0.17158238912074028,14.069755907900703,2.5555996136441883,ok
Kovalev_3,22,59,82,Kovalev,0.17073170731707318,2000,1,0.0009175004599313446,0.17643060635384475,14.467309721015269,2.561645423651118,ok
Kovalev_3,22,59,82,Kovalev,0.17073170731707318,2000,2,-0.0009390372711494732,0.1717518727132113,14.083653562483326,2.5599533538533934,ok
Kovalev_3,22,59,82,Kovalev,0.17073170731707318,5000,0,-0.0005268913120756224,0.12842404041660405,10.530771314161532,2.420387004983491,ok
Kovalev_3,22,59,82,Kovalev,0.17073170731707318,5000,1,-0.0013878960208176245,0.12827584058518707,10.51861892798534,2.4232108551493154,ok
Kovalev_3,22,59,82,Kovalev,0.17073170731707318,5000,2,-0.00021154449608405378,0.12620710447092356,10.348982566615732,2.4224935266497822,ok
Synth_99_a,14,84,99,Synthetic,0.1414141414141414,1000,0,0.0003424648226544847,0.21716425683371735,21.499261426538016,2.7933963639621386,ok
Synth_99_a,14,84,99,Synthetic,0.1414141414141414,1000,1,0.0001849778306758429,0.2164080015485423,21.42439215330569,2.8090405445255735,ok
Synth_99_a,14,84,99,Synthetic,0.1414141414141414,1000,2,6.582341590101965e-05,0.21087002211459754,20.876132189345157,2.803212641462075,ok
Synth_99_a,14,84,99,Synthetic,0.1414141414141414,2000,0,-0.0016086220676784274,0.17127276823985677,16.95600405574582,2.625315949210156,ok
Synth_99_a,14,84,99,Synthetic,0.1414141414141414,2000,1,0.0015731070451485065,0.1764413864103714,17.46769725462677,2.6315266879159953,ok
Synth_99_a,14,84,99,Synthetic,0.1414141414141414,2000,2,0.000358190467416905,0.17126186143790753,16.954924282352845,2.6297884587335267,ok
Synth_99_a,14,84,99,Synthetic,0.1414141414141414,5000,0,0.000553346534765369,0.12922148789807145,12.792927301909073,2.4864147629069318,ok
Synth_99_a,14,84,99,Synthetic,0.1414141414141414,5000,1,-4.3065871701545434e-05,0.12888808182477524,12.759920100652748,2.489315647239102,ok
Synth_99_a,14,84,99,Synthetic,0.1414141414141414,5000,2,4.0155132938123973e-07,0.12641997332493002,12.515577359168072,2.4885787501365217,ok
Synth_99_b,35,63,99,Synthetic,0.1414141414141414,1000,0,0.003434019860883382,0.21817426204304377,21.599251942261333,2.7933963639621386,ok
